system:index,date,path,row,sat,.geo
1_2_LE07_106061_20100129,2010-01-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20100505,2010-05-05,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20100606,2010-06-06,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20100926,2010-09-26,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20101012,2010-10-12,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20101028,2010-10-28,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20101113,2010-11-13,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20101129,2010-11-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20101215,2010-12-15,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20101231,2010-12-31,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20110406,2011-04-06,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20110422,2011-04-22,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20110508,2011-05-08,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20110727,2011-07-27,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20110929,2011-09-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20111031,2011-10-31,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20111116,2011-11-16,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20111202,2011-12-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20111218,2011-12-18,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20120119,2012-01-19,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20120204,2012-02-04,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20120220,2012-02-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20120323,2012-03-23,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20120408,2012-04-08,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20120814,2012-08-14,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20121001,2012-10-01,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20121017,2012-10-17,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20121118,2012-11-18,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20121220,2012-12-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130121,2013-01-21,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130206,2013-02-06,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130222,2013-02-22,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130323,2013-03-23,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20130326,2013-03-26,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130411,2013-04-11,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130419,2013-04-19,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20130427,2013-04-27,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130513,2013-05-13,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130521,2013-05-21,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20130529,2013-05-29,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130606,2013-06-06,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20130614,2013-06-14,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130622,2013-06-22,106.0,61.0,LANDSAT_8,
2_LC08_106061_20130708,2013-07-08,106.0,61.0,LANDSAT_8,
2_LC08_106062_20130708,2013-07-08,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20130716,2013-07-16,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130801,2013-08-01,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130809,2013-08-09,106.0,61.0,LANDSAT_8,
2_LC08_106062_20130809,2013-08-09,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20130817,2013-08-17,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130825,2013-08-25,106.0,61.0,LANDSAT_8,
2_LC08_106062_20130825,2013-08-25,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20130902,2013-09-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20130918,2013-09-18,106.0,61.0,LANDSAT_7,
2_LC08_106061_20130926,2013-09-26,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20131004,2013-10-04,106.0,61.0,LANDSAT_7,
2_LC08_106061_20131012,2013-10-12,106.0,61.0,LANDSAT_8,
2_LC08_106062_20131012,2013-10-12,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20131020,2013-10-20,106.0,61.0,LANDSAT_7,
2_LC08_106062_20131028,2013-10-28,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20131105,2013-11-05,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20131121,2013-11-21,106.0,61.0,LANDSAT_7,
2_LC08_106061_20131129,2013-11-29,106.0,61.0,LANDSAT_8,
2_LC08_106062_20131129,2013-11-29,106.0,62.0,LANDSAT_8,
2_LC08_106062_20131215,2013-12-15,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20131223,2013-12-23,106.0,61.0,LANDSAT_7,
2_LC08_106062_20131231,2013-12-31,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140108,2014-01-08,106.0,61.0,LANDSAT_7,
2_LC08_106062_20140116,2014-01-16,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140124,2014-01-24,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140201,2014-02-01,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140201,2014-02-01,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140209,2014-02-09,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140217,2014-02-17,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20140225,2014-02-25,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140305,2014-03-05,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140305,2014-03-05,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140313,2014-03-13,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140321,2014-03-21,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140321,2014-03-21,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140329,2014-03-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20140414,2014-04-14,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140422,2014-04-22,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140422,2014-04-22,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140430,2014-04-30,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140508,2014-05-08,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140508,2014-05-08,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140516,2014-05-16,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140524,2014-05-24,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140524,2014-05-24,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140601,2014-06-01,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140609,2014-06-09,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140609,2014-06-09,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140617,2014-06-17,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140625,2014-06-25,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140625,2014-06-25,106.0,62.0,LANDSAT_8,
2_LC08_106061_20140711,2014-07-11,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140711,2014-07-11,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140719,2014-07-19,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140727,2014-07-27,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140727,2014-07-27,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140804,2014-08-04,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140812,2014-08-12,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140812,2014-08-12,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140820,2014-08-20,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140828,2014-08-28,106.0,61.0,LANDSAT_8,
2_LC08_106061_20140913,2014-09-13,106.0,61.0,LANDSAT_8,
2_LC08_106062_20140913,2014-09-13,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20140921,2014-09-21,106.0,61.0,LANDSAT_7,
2_LC08_106061_20140929,2014-09-29,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20141007,2014-10-07,106.0,61.0,LANDSAT_7,
2_LC08_106061_20141015,2014-10-15,106.0,61.0,LANDSAT_8,
2_LC08_106062_20141015,2014-10-15,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20141023,2014-10-23,106.0,61.0,LANDSAT_7,
2_LC08_106061_20141031,2014-10-31,106.0,61.0,LANDSAT_8,
2_LC08_106062_20141031,2014-10-31,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20141108,2014-11-08,106.0,61.0,LANDSAT_7,
2_LC08_106061_20141116,2014-11-16,106.0,61.0,LANDSAT_8,
2_LC08_106062_20141116,2014-11-16,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20141124,2014-11-24,106.0,61.0,LANDSAT_7,
2_LC08_106061_20141202,2014-12-02,106.0,61.0,LANDSAT_8,
2_LC08_106062_20141202,2014-12-02,106.0,62.0,LANDSAT_8,
2_LC08_106061_20141218,2014-12-18,106.0,61.0,LANDSAT_8,
2_LC08_106062_20141218,2014-12-18,106.0,62.0,LANDSAT_8,
2_LC08_106061_20150103,2015-01-03,106.0,61.0,LANDSAT_8,
2_LC08_106061_20150119,2015-01-19,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150119,2015-01-19,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150127,2015-01-27,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150204,2015-02-04,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150204,2015-02-04,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150212,2015-02-12,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150220,2015-02-20,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150220,2015-02-20,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150228,2015-02-28,106.0,61.0,LANDSAT_7,
